USN,Name,Year,Semester,Section,Branch,CIA-1,CIA-2,CIA-3
1MS21CSE001,Student 1,1st Year,8th Sem,B,CSE,51,84,67
1MS21ISE002,Student 2,2nd Year,2th Sem,B,ISE,97,95,59
1MS21ISE003,Student 3,2nd Year,6th Sem,C,ISE,85,65,86
1MS21ISE004,Student 4,3rd Year,1th Sem,A,ISE,57,71,56
1MS21AI005,Student 5,1st Year,3th Sem,B,AI,53,72,99
1MS21CSE006,Student 6,1st Year,7th Sem,B,CSE,75,85,51
1MS21AI007,Student 7,3rd Year,7th Sem,A,AI,75,55,82
1MS21AI008,Student 8,3rd Year,7th Sem,A,AI,59,86,75
1MS21CSE009,Student 9,3rd Year,6th Sem,B,CSE,59,89,82
1MS21AI010,Student 10,1st Year,3th Sem,A,AI,61,98,58
1MS21CSE011,Student 11,4th Year,8th Sem,A,CSE,96,87,94
1MS21ISE012,Student 12,4th Year,1th Sem,A,ISE,69,74,63
1MS21CSE013,Student 13,3rd Year,6th Sem,B,CSE,74,68,69
1MS21ME014,Student 14,1st Year,6th Sem,C,ME,96,76,92
1MS21ME015,Student 15,3rd Year,4th Sem,B,ME,50,74,100
1MS21ISE016,Student 16,1st Year,5th Sem,C,ISE,63,65,79
1MS21ISE017,Student 17,3rd Year,5th Sem,C,ISE,91,58,77
1MS21AI018,Student 18,3rd Year,8th Sem,C,AI,83,97,100
1MS21CSE019,Student 19,1st Year,4th Sem,B,CSE,85,87,85
1MS21ME020,Student 20,3rd Year,3th Sem,A,ME,93,64,63
1MS21ISE021,Student 21,2nd Year,4th Sem,A,ISE,75,94,68
1MS21ME022,Student 22,1st Year,1th Sem,C,ME,94,91,74
1MS21ISE023,Student 23,1st Year,7th Sem,B,ISE,93,75,93
1MS21CSE024,Student 24,3rd Year,1th Sem,A,CSE,81,95,66
1MS21CSE025,Student 25,2nd Year,3th Sem,C,CSE,67,55,51
1MS21ISE026,Student 26,1st Year,4th Sem,C,ISE,95,77,88
1MS21CSE027,Student 27,3rd Year,3th Sem,C,CSE,85,88,89
1MS21ME028,Student 28,3rd Year,7th Sem,A,ME,65,85,63
1MS21ME029,Student 29,4th Year,8th Sem,C,ME,100,59,91
1MS21CSE030,Student 30,4th Year,6th Sem,B,CSE,66,83,93
1MS21AI031,Student 31,1st Year,7th Sem,C,AI,72,63,98
1MS21CSE032,Student 32,4th Year,1th Sem,A,CSE,51,73,57
1MS21ISE033,Student 33,2nd Year,2th Sem,C,ISE,71,59,60
1MS21ME034,Student 34,1st Year,6th Sem,C,ME,72,95,95
1MS21CSE035,Student 35,1st Year,5th Sem,A,CSE,65,59,74
1MS21CSE036,Student 36,1st Year,2th Sem,C,CSE,82,75,87
1MS21CSE037,Student 37,1st Year,1th Sem,C,CSE,71,54,59
1MS21ISE038,Student 38,1st Year,2th Sem,A,ISE,76,65,78
1MS21AI039,Student 39,2nd Year,4th Sem,A,AI,86,78,77
1MS21ME040,Student 40,4th Year,5th Sem,C,ME,91,75,78
1MS21AI041,Student 41,3rd Year,1th Sem,A,AI,98,60,50
1MS21CSE042,Student 42,3rd Year,7th Sem,B,CSE,90,74,87
1MS21ISE043,Student 43,1st Year,5th Sem,A,ISE,71,95,89
1MS21CSE044,Student 44,2nd Year,5th Sem,A,CSE,80,73,61
1MS21CSE045,Student 45,4th Year,5th Sem,A,CSE,51,89,89
1MS21AI046,Student 46,4th Year,3th Sem,B,AI,61,81,50
1MS21CSE047,Student 47,1st Year,7th Sem,C,CSE,71,100,51
1MS21ISE048,Student 48,3rd Year,2th Sem,B,ISE,80,86,69
1MS21ME049,Student 49,1st Year,8th Sem,B,ME,76,65,97
1MS21AI050,Student 50,4th Year,3th Sem,C,AI,61,79,84
